Result_ID,User_ID,Quiz_ID,Q1_Answer,Q2_Answer,Q3_Answer,Q4_Answer,Q5_Answer,Q6_Answer,Q7_Answer,Q8_Answer,Q9_Answer,Q10_Answer,Q11_Answer,Q12_Answer,Q13_Answer,Q14_Answer,Q15_Answer,Q16_Answer,Q17_Answer,Q18_Answer,Q19_Answer,Q20_Answer,Q21_Answer,Q22_Answer,Architect_Score,Alchemist_Score,Blurred_Score,Neutral_Score,Final_DNA_Type,Subtype,Default_Type,Awareness_Percentage,Overall_Score,Date_Created
44,student-1751629632927,1,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,0,0,0,0,blurred,overthinker,blurred,75,0,2025-07-04 11:47:52.201
43,student-1751629539944,1,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,0,0,0,0,blurred,overthinker,blurred,75,0,2025-07-04 11:46:13.46
42,student-1751570784371,1,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,0,0,0,0,blurred,overthinker,blurred,75,0,2025-07-04 10:26:33.622
41,student-1751608060654,1,B,B,B,A,A,B,A,C,A,A,B,A,D,D,A,D,C,A,B,C,D,C,0,0,0,0,blurred,overthinker,blurred,75,0,2025-07-04 06:02:32.916
40,student-1751573609553,1,A,C,A,D,B,B,D,C,A,C,C,C,C,B,D,B,B,D,B,B,A,B,0,0,0,0,blurred,overthinker,blurred,75,0,2025-07-03 20:47:35.676
39,student-1751574670696,1,B,A,B,B,B,B,B,A,D,A,B,B,B,B,C,B,A,C,C,B,B,B,0,0,0,0,alchemist,energetic-empath,alchemist,75,0,2025-07-03 20:44:42.348
38,student-1751570536173,1,B,A,A,A,B,D,A,A,A,B,B,C,A,B,D,C,C,D,B,D,D,B,0,0,0,0,blurred,overthinker,blurred,75,0,2025-07-03 20:02:14.159
37,student-1751569949376,1,C,B,B,C,B,B,A,A,A,B,B,A,B,B,A,B,A,D,A,D,A,B,0,0,0,0,alchemist,visionary-oracle,alchemist,75,0,2025-07-03 19:56:21.8
36,student-1751570356003,1,A,B,A,A,B,B,C,A,A,C,A,B,D,A,C,C,A,D,A,C,A,B,0,0,0,0,blurred,overthinker,blurred,75,0,2025-07-03 19:52:28.175
35,student-1751571231263,1,A,C,D,B,B,D,B,C,B,B,C,B,B,C,A,B,C,A,D,A,A,A,0,0,0,0,blurred,overthinker,blurred,75,0,2025-07-03 19:48:43.077
34,student-1751568964717,1,A,A,A,B,A,A,B,D,B,A,C,C,D,A,C,C,A,C,C,D,A,A,0,0,0,0,architect,master-strategist,architect,75,0,2025-07-03 19:36:06.707
33,student-1751566900242,1,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,0,0,0,0,blurred,overthinker,blurred,75,0,2025-07-03 18:30:55.433
32,student-1751566900242,1,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,0,0,0,0,blurred,overthinker,blurred,75,0,2025-07-03 18:23:34.645
31,student-1751565213785,1,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,0,0,0,0,blurred,overthinker,blurred,75,0,2025-07-03 17:54:08.075
30,student-1751564638903,1,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,0,0,0,0,blurred,overthinker,blurred,75,0,2025-07-03 17:44:10.765
29,student-1751564395165,1,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,0,0,0,0,blurred,overthinker,blurred,75,0,2025-07-03 17:40:28.877
28,student-1751564395165,1,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,0,0,0,0,blurred,overthinker,blurred,75,0,2025-07-03 17:40:28.877
27,student-1751563909378,1,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,0,0,0,0,blurred,overthinker,blurred,75,0,2025-07-03 17:35:58.344
26,student-1751563909378,1,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,0,0,0,0,blurred,overthinker,blurred,75,0,2025-07-03 17:32:43.083
25,student-test-123,1,A,B,A,B,A,B,C,D,C,D,C,D,A,B,A,B,A,B,C,D,C,D,0,0,0,0,blurred,overthinker,blurred,75,0,2025-07-03 17:28:36.61
12,journey-test-user,1,Architect,Architect,Architect,Architect,Blurred,Neutral,,,,,,,,,,,,,,,4,0,1,1,Architect,,,85,4,2025-06-27 17:01:57.208
